name,year,rank,rate
The Shawshank Redemption,(1994),1.
The Godfather,(1972),2.
The Dark Knight,(2008),3.
The Godfather Part II,(1974),4.
12 Angry Men,(1957),5.
Schindler's List,(1993),6.
The Lord of the Rings: The Return of the King,(2003),7.
Pulp Fiction,(1994),8.
The Lord of the Rings: The Fellowship of the Ring,(2001),9.
"Il buono, il brutto, il cattivo",(1966),10.
Forrest Gump,(1994),11.
Fight Club,(1999),12.
Inception,(2010),13.
The Lord of the Rings: The Two Towers,(2002),14.
The Empire Strikes Back,(1980),15.
The Matrix,(1999),16.
Goodfellas,(1990),17.
One Flew Over the Cuckoo's Nest,(1975),18.
Se7en,(1995),19.
Shichinin no samurai,(1954),20.
It's a Wonderful Life,(1946),21.
The Silence of the Lambs,(1991),22.
Cidade de Deus,(2002),23.
Saving Private Ryan,(1998),24.
La vita è bella,(1997),25.
The Green Mile,(1999),26.
Interstellar,(2014),27.
Star Wars,(1977),28.
Terminator 2: Judgment Day,(1991),29.
Back to the Future,(1985),30.
Sen to Chihiro no kamikakushi,(2001),31.
Psycho,(1960),32.
The Pianist,(2002),33.
Léon,(1994),34.
Gisaengchung,(2019),35.
The Lion King,(1994),36.
Gladiator,(2000),37.
American History X,(1998),38.
The Departed,(2006),39.
The Usual Suspects,(1995),40.
The Prestige,(2006),41.
Casablanca,(1942),42.
Whiplash,(2014),43.
The Intouchables,(2011),44.
Seppuku,(1962),45.
Hotaru no haka,(1988),46.
Modern Times,(1936),47.
Once Upon a Time in the West,(1968),48.
Rear Window,(1954),49.
Alien,(1979),50.
City Lights,(1931),51.
Nuovo Cinema Paradiso,(1988),52.
Apocalypse Now,(1979),53.
Memento,(2000),54.
Raiders of the Lost Ark,(1981),55.
Django Unchained,(2012),56.
WALL·E,(2008),57.
The Lives of Others,(2006),58.
Sunset Blvd.,(1950),59.
Paths of Glory,(1957),60.
The Shining,(1980),61.
The Great Dictator,(1940),62.
Avengers: Infinity War,(2018),63.
Witness for the Prosecution,(1957),64.
Top Gun: Maverick,(2022),65.
Aliens,(1986),66.
American Beauty,(1999),67.
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),68.
Spider-Man: Into the Spider-Verse,(2018),69.
The Dark Knight Rises,(2012),70.
Oldeuboi,(2003),71.
Joker,(2019),72.
Amadeus,(1984),73.
Braveheart,(1995),74.
Toy Story,(1995),75.
Coco,(2017),76.
Inglourious Basterds,(2009),77.
Das Boot,(1981),78.
Mononoke-hime,(1997),79.
Avengers: Endgame,(2019),80.
Once Upon a Time in America,(1984),81.
Good Will Hunting,(1997),82.
Kimi no na wa.,(2016),83.
Requiem for a Dream,(2000),84.
Toy Story 3,(2010),85.
Singin' in the Rain,(1952),86.
3 Idiots,(2009),87.
Star Wars: Episode VI - Return of the Jedi,(1983),88.
Tengoku to jigoku,(1963),89.
2001: A Space Odyssey,(1968),90.
Eternal Sunshine of the Spotless Mind,(2004),91.
Reservoir Dogs,(1992),92.
Capharnaüm,(2018),93.
Jagten,(2012),94.
Lawrence of Arabia,(1962),95.
Citizen Kane,(1941),96.
M - Eine Stadt sucht einen Mörder,(1931),97.
North by Northwest,(1959),98.
Idi i smotri,(1985),99.
Vertigo,(1958),100.
Le fabuleux destin d'Amélie Poulain,(2001),101.
A Clockwork Orange,(1971),102.
Double Indemnity,(1944),103.
Full Metal Jacket,(1987),104.
The Apartment,(1960),105.
Scarface,(1983),106.
Ikiru,(1952),107.
The Sting,(1973),108.
To Kill a Mockingbird,(1962),109.
Taxi Driver,(1976),110.
Heat,(1995),111.
Up,(2009),112.
L.A. Confidential,(1997),113.
Incendies,(2010),114.
Metropolis,(1927),115.
Jodaeiye Nader az Simin,(2011),116.
Hamilton,(2020),117.
Die Hard,(1988),118.
Snatch,(2000),119.
Indiana Jones and the Last Crusade,(1989),120.
